id,ratio_TSS_0,ratio_TSS_1
ENST00000417732.1,,
ENST00000510112.1,,
ENST00000436681.5,,
ENST00000434730.1,,
ENST00000452952.1,301.0,
ENST00000416615.5,,
ENST00000447720.5,,
ENST00000416640.2,,
ENST00000666255.1,,
ENST00000652479.1,,
ENST00000422450.1,,
ENST00000617743.1,,
ENST00000620804.1,,
ENST00000363187.1,,
ENST00000516211.1,,
ENST00000621315.1,,
ENST00000407464.7,,
ENST00000407598.2,,
ENST00000443632.2,,
ENST00000612964.1,,
ENST00000682920.1,,
ENST00000432134.8,,
ENST00000536718.3,,
ENST00000621561.5,,
ENST00000486209.5,1.1248439450686643,1.2220988339811216
ENST00000360806.9,2.99667221297837,1.3997335109926716
ENST00000450651.5,,
ENST00000516334.1,,
ENST00000410420.1,,
ENST00000458578.6,,
ENST00000433039.2,,
ENST00000619894.1,,
ENST00000545681.2,,
ENST00000342192.9,2801.0,5001.0
ENST00000292778.11,400.99999999999994,16.84158415841584
ENST00000398873.4,400.99999999999994,1701.0000000000002
ENST00000607942.5,,
ENST00000292779.4,,
ENST00000609038.1,,
ENST00000248958.5,500.99999999999994,701.0
ENST00000498589.1,,
ENST00000390813.1,,
ENST00000385018.1,,2.98019801980198
ENST00000641967.1,,
ENST00000641933.1,,
ENST00000641242.1,,
ENST00000641337.1,,1.3992015968063873
ENST00000610143.1,2.492537313432836,0.7146932952924394
ENST00000680393.1,1201.0,1201.0
ENST00000679795.1,1201.0,1201.0
ENST00000679540.1,1201.0,1201.0
ENST00000680061.1,1201.0,1201.0
ENST00000681338.1,1201.0,1201.0
ENST00000681956.1,1201.0,1201.0
ENST00000679827.1,1201.0,1201.0
ENST00000679534.1,1201.0,1201.0
ENST00000335025.12,1401.0,1401.0
ENST00000398831.8,1401.0,1401.0
ENST00000679477.1,1401.0,1701.0000000000002
ENST00000626352.2,6.970149253731344,16.84158415841584
ENST00000680094.1,4.98671096345515,17.831683168316832
ENST00000680109.1,3.743142144638404,9.45771144278607
ENST00000406385.1,3.743142144638404,9.45771144278607
ENST00000680860.1,1.873907615480649,4.74064837905237
ENST00000672036.2,2.98019801980198,1.4975124378109452
ENST00000662004.1,,
ENST00000496490.3,,
ENST00000403503.1,,
ENST00000339468.8,,
ENST00000652589.1,,
ENST00000364115.1,1.1249609497032178,1.0
ENST00000544786.1,1.9975062344139651,1301.0
ENST00000215832.11,2.6611295681063125,
ENST00000398822.7,801.0,
ENST00000435222.1,,
ENST00000653280.1,1.3322259136212624,1.0
ENST00000458178.2,1.3322259136212624,1.0
ENST00000407142.5,1.1996007984031936,1.0
ENST00000397495.8,301.0,2.492537313432836
ENST00000263212.10,301.0,500.99999999999994
ENST00000398793.6,1.3992015968063873,2.6611295681063125
ENST00000357179.10,601.0,701.0
ENST00000548391.1,,
ENST00000523272.1,,
ENST00000390282.2,,
ENST00000519525.1,,
ENST00000620649.1,,
ENST00000423821.2,,
ENST00000519446.1,,
ENST00000419303.5,,
ENST00000337471.8,,
ENST00000413294.1,,
ENST00000521832.1,,
ENST00000523818.1,,
ENST00000517313.1,,
ENST00000518581.1,,
ENST00000524184.1,,
ENST00000518003.1,1.9950248756218907,
ENST00000611529.1,,
ENST00000390283.2,,
ENST00000444224.1,,
ENST00000580133.2,,
ENST00000448601.1,,
ENST00000440562.1,,
ENST00000390284.2,,
ENST00000442890.1,,
ENST00000458366.1,,
ENST00000520218.1,,
ENST00000520445.1,,
ENST00000431230.1,,
ENST00000390285.4,,
ENST00000521342.1,,
ENST00000390286.3,,
ENST00000390287.2,,
ENST00000520107.1,,
ENST00000420768.1,,
ENST00000432623.1,,
ENST00000302273.2,,
ENST00000403807.4,,
ENST00000624350.1,,1.4975124378109452
ENST00000610778.1,,
ENST00000412149.1,,
ENST00000652112.1,1101.0,801.0
ENST00000413293.1,1.666111573688593,2.498751040799334
ENST00000390289.2,0.8003992015968063,1.0768639508070714
ENST00000390290.3,,
ENST00000390291.2,,
ENST00000436538.1,,
ENST00000427632.2,,
ENST00000440829.1,,
ENST00000390293.1,,
ENST00000390294.2,,
ENST00000453999.1,,
ENST00000390295.3,,
ENST00000443400.1,,
ENST00000390296.2,,
ENST00000390297.3,,
ENST00000390298.2,,
ENST00000522485.1,,
ENST00000518405.1,,
ENST00000519790.1,,
ENST00000390299.2,,
ENST00000438037.1,,
ENST00000519982.1,,
ENST00000390300.2,,
ENST00000390301.3,,
ENST00000451224.1,,
ENST00000523314.1,,
ENST00000419501.1,,
ENST00000613655.1,1.9975062344139651,3.6578073089700998
ENST00000626650.3,,301.0
ENST00000302097.3,,301.0
ENST00000398741.5,1.3322259136212624,1.1427551748750893
ENST00000405655.8,,1301.0
ENST00000406503.1,,1301.0
ENST00000402697.5,,801.0
ENST00000543184.5,,801.0
ENST00000398743.6,,
ENST00000407120.1,,
ENST00000490007.2,,
ENST00000390302.3,,
ENST00000390303.3,,
ENST00000523713.1,,
ENST00000524362.1,,
ENST00000506079.2,,
ENST00000661466.1,,
ENST00000605258.1,,
ENST00000402027.1,,
ENST00000618722.4,,
ENST00000480559.6,,
ENST00000448514.2,,
ENST00000613850.4,,
ENST00000417145.2,,
ENST00000520084.1,,
ENST00000520681.1,1.0,1.0
ENST00000390304.2,1.0,1.0
ENST00000520756.1,1.0,1.0
ENST00000521893.1,1.0,1.0
ENST00000390305.2,1.0051149586967085,1.0
ENST00000418731.1,1.0,1.0
ENST00000438185.1,1.0,1.0
ENST00000517477.1,1.0,1.0
ENST00000390306.2,1.0,1.0
ENST00000521183.1,1.0,1.0
ENST00000390307.2,1.0,1.0
ENST00000390308.2,1.0,1.0
ENST00000519296.1,1.0,1.0
ENST00000390309.2,1.0,1.0
ENST00000620749.1,1.0,1.0
ENST00000390310.3,1.0,1.0
ENST00000519099.1,1.0,1.0
ENST00000390311.3,1.0,1.0
ENST00000518356.1,1.0,1.0
ENST00000390312.2,3.1399910833704863,3.2333991976528353
ENST00000518475.1,1.0,1.0
ENST00000390313.3,1.0,1.0
ENST00000415642.1,1.0,1.0
ENST00000616239.1,0.9333555481506165,1.0
ENST00000390314.2,1.0,1.0
ENST00000618197.1,1.0,1.0
ENST00000390315.3,1.0,1.0
ENST00000423259.1,1.0,1.0
ENST00000390316.2,1.0,1.0
ENST00000620395.2,1.0344708721130644,1.0
ENST00000385101.1,0.9666777740753082,1.0
ENST00000458673.1,,
ENST00000522952.1,,
ENST00000523937.1,,
ENST00000522922.1,,
ENST00000432300.1,,
ENST00000390318.2,,
ENST00000519345.1,,
ENST00000390319.2,,
ENST00000577998.1,,
ENST00000532223.2,,
ENST00000526893.6,,
ENST00000531372.1,,
ENST00000390320.2,,
ENST00000390321.2,1.0,1.0
ENST00000390322.2,1.0,1.0
ENST00000390323.2,19.927735621587125,10.665662017242589
ENST00000390324.2,0.9729802756011888,1.0
ENST00000390325.2,22.888940163051835,6.83405699850004
ENST00000390326.2,1.0,1.0
ENST00000517690.1,1.0,1.0
ENST00000390327.2,0.9995483308566808,1.0
ENST00000519670.1,1.0,1.0
ENST00000390328.2,1.0009945251391092,1.0059726792585915
ENST00000410078.2,1.0,1.0
ENST00000390330.2,1.0,1.0
ENST00000390331.3,1.018956447561727,1.0338156083186396
ENST00000415639.1,,
ENST00000420944.1,,
ENST00000615612.2,,
ENST00000635920.1,,
ENST00000459276.2,,
ENST00000216036.9,,
ENST00000406876.1,,
ENST00000341989.9,,
ENST00000263116.8,,
ENST00000412037.2,,
ENST00000359540.7,,
ENST00000305877.13,,
ENST00000467969.3,1.0,0.8965873836608066
ENST00000426721.2,1.0,1.0
ENST00000440602.1,,
ENST00000450776.1,,
ENST00000400418.7,,
ENST00000415114.1,,
ENST00000512987.2,,
ENST00000418264.1,,
ENST00000255890.8,,
ENST00000433168.5,,
ENST00000449711.1,,
ENST00000454268.1,,
ENST00000457193.1,4.96039603960396,
ENST00000426024.1,,
ENST00000320372.9,,
ENST00000653461.1,,1.3322259136212624
ENST00000432249.2,0.7506234413965087,0.7506234413965087
ENST00000629869.1,7.930693069306931,901.0
ENST00000626825.1,2.2468827930174564,6.970149253731344
ENST00000627127.1,1.0,0.7273966378918674
ENST00000454863.4,,
ENST00000249053.3,,
ENST00000330377.3,,
ENST00000608615.1,,
ENST00000614827.1,,
ENST00000622821.1,,
ENST00000614553.1,,
ENST00000317749.9,,
ENST00000390329.3,3.4875621890547266,1.4995004995004995
ENST00000425948.2,1.3322259136212624,1.0
ENST00000430707.2,1.4987531172069826,1.1998001998001997
ENST00000428790.1,1.2493765586034913,1.36330608537693
ENST00000401461.5,0.7506234413965087,1.0
ENST00000612432.4,1.0,1.0
ENST00000615003.4,1.0,1.0
ENST00000290691.10,1.1248439450686643,1.0999000999000998
ENST00000417194.5,2.2468827930174564,1.3745318352059925
ENST00000651432.1,1.9950248756218907,1.0
ENST00000435868.1,,400.99999999999994
ENST00000437294.1,,
ENST00000341976.5,,
ENST00000398465.3,,
ENST00000248948.4,,
ENST00000402217.8,,
ENST00000305199.9,,
ENST00000382821.3,,
ENST00000520222.1,,
ENST00000401675.7,,
ENST00000484558.3,,
ENST00000215743.8,,
ENST00000407422.8,,
ENST00000344921.11,,400.99999999999994
ENST00000644036.2,,400.99999999999994
ENST00000263121.12,,7.930693069306931
ENST00000318109.12,400.99999999999994,500.99999999999994
ENST00000404056.1,400.99999999999994,500.99999999999994
ENST00000406855.7,400.99999999999994,500.99999999999994
ENST00000476077.1,400.99999999999994,500.99999999999994
ENST00000345044.10,,
ENST00000403208.7,,
ENST00000398356.6,,
ENST00000405847.5,,
ENST00000609825.1,,
ENST00000611880.4,,
ENST00000316185.8,,1.9950248756218907
ENST00000433835.3,0.8336106489184693,0.6670366259711432
ENST00000624923.1,1.0,1.0
ENST00000491172.3,,0.5008319467554077
ENST00000215754.8,63.68656716417911,55.114713216957604
ENST00000406213.1,2.9900497512437814,
ENST00000609510.1,,0.7506234413965087
ENST00000439492.1,,
ENST00000443377.1,,
ENST00000440099.1,,
ENST00000404172.3,1.664451827242525,
ENST00000290765.9,500.99999999999994,
ENST00000423307.1,,
ENST00000215770.6,3200.9999999999995,4601.0
ENST00000609736.1,,
ENST00000398344.9,3200.9999999999995,4901.0
ENST00000430101.2,2801.0,4201.0
ENST00000403754.7,2801.0,4201.0
ENST00000506097.1,,
ENST00000350608.7,,
ENST00000402588.6,,
ENST00000634759.1,,
ENST00000621118.4,400.99999999999994,
ENST00000404092.5,,
ENST00000437021.2,,
ENST00000621179.5,,
ENST00000440539.1,,
ENST00000263119.10,,
ENST00000617531.4,,
ENST00000405822.6,2.492537313432836,2.9900497512437814
ENST00000398319.6,2.9900497512437814,4.980099502487563
ENST00000444093.1,0.8751560549313359,0.8667554963357762
ENST00000337989.11,0.9231360491929285,1.0
ENST00000358321.4,,
ENST00000398292.3,,
ENST00000263112.11,,
ENST00000327365.10,,
ENST00000402176.3,,
ENST00000414583.6,,
ENST00000441984.1,,
ENST00000444246.1,,
ENST00000396982.3,,
ENST00000437398.5,500.99999999999994,
ENST00000314328.14,601.0,301.0
ENST00000651059.1,601.0,301.0
ENST00000541492.1,1.7481296758104738,3.985074626865672
ENST00000358654.2,1.7481296758104738,3.985074626865672
ENST00000611543.4,,
ENST00000337539.12,,
ENST00000610595.4,,
ENST00000618076.3,,
ENST00000326341.8,,
ENST00000427813.6,,
ENST00000382760.2,,
ENST00000326010.10,,
ENST00000432032.1,,
ENST00000447813.6,,2.3311148086522464
ENST00000402766.5,,2.596806387225549
ENST00000435822.6,,2.596806387225549
ENST00000407471.7,,1.1996007984031936
ENST00000621833.4,0.07564610450858328,0.12743137611343391
ENST00000404664.7,0.07564610450858328,0.12743137611343391
ENST00000215829.8,8.547169811320755,8.160699417152374
ENST00000402849.5,6.903723887375114,5.155707522356654
ENST00000652248.1,6.903723887375114,5.155707522356654
ENST00000318753.13,,
ENST00000438893.2,,
ENST00000400382.6,3.9702970297029703,4.96039603960396
ENST00000400380.5,2.492537313432836,6.9405940594059405
ENST00000401885.5,1.0,1.0
ENST00000404532.5,1.0,1.0
ENST00000403838.5,1.0,1.0
ENST00000404223.5,1.1996007984031936,1.9983361064891847
ENST00000404920.1,1.1663893510815309,1.7769145394006662
ENST00000621462.4,,
ENST00000639500.1,2.98019801980198,
ENST00000382243.5,,
ENST00000614808.1,,
ENST00000639904.1,,0.7506234413965087
ENST00000436994.1,,
ENST00000430731.1,,
ENST00000409926.2,,
ENST00000633827.1,,
ENST00000456260.1,,
ENST00000442565.1,,
ENST00000616349.4,,
ENST00000527701.5,,
ENST00000533313.5,,
ENST00000332271.9,,
ENST00000610372.4,,
ENST00000400358.9,,
ENST00000400359.4,,
ENST00000362913.1,,
ENST00000423535.1,,
ENST00000640159.2,,
ENST00000407886.1,,
ENST00000358431.8,,
ENST00000406486.8,,
ENST00000623888.1,1.2493765586034913,
ENST00000624101.1,1.1996007984031936,1.4975124378109452
ENST00000623239.1,,1.0
